cl60_1	Escherichia_coli_Shigella	Escherichia_coli-KX11;Escherichia_coli-KX42	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_572	Escherichia_coli_Shigella	K13	5	7	0.714286	Confident
cl60_574	Escherichia_coli_Shigella	O16	5	7	0.714286	Confident
cl60_575	Escherichia_coli_Shigella	O85	9	9	1.0	Highly confident
cl60_576	Escherichia_coli_Shigella	O26	56	62	0.903226	Highly confident
cl60_577	Escherichia_coli_Shigella	O105	2	4	0.5	Uncertain
cl60_581	Escherichia_coli_Shigella	O126;O154;O177	1;1;1	3;3;3	0.333333;0.333333;0.333333	Uncertain;Uncertain;Uncertain
cl60_583	Escherichia_coli_Shigella	Escherichia_coli-KX41	1	1	1.0	Highly confident
cl60_584	Escherichia_coli_Shigella	O53	3	3	1.0	Highly confident
cl60_585	Escherichia_coli_Shigella	O181	8	8	1.0	Highly confident
cl60_589	Escherichia_coli_Shigella	O174	1	1	1.0	Highly confident
cl60_590	Escherichia_coli_Shigella	O146	8	8	1.0	Highly confident
cl60_593	Escherichia_coli_Shigella	O7	39	42	0.928571	Highly confident
cl60_596	Escherichia_coli_Shigella	O82	35	38	0.921053	Highly confident
cl60_60	Escherichia_coli_Shigella	K53	1	1	1.0	Highly confident
cl60_603	Escherichia_coli_Shigella	O2/O50	39	40	0.975	Highly confident
cl60_605	Escherichia_coli_Shigella	O95	3	3	1.0	Highly confident
cl60_606	Escherichia_coli_Shigella	O8/O9/O9a	22	23	0.956522	Highly confident
cl60_609	Escherichia_coli_Shigella	O32	1	1	1.0	Highly confident
cl60_615	Escherichia_coli_Shigella	O8/O9/O9a;Shigella-B7	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_616	Escherichia_coli_Shigella	Escherichia_coli-KX28	1	1	1.0	Highly confident
cl60_617	Escherichia_coli_Shigella	Escherichia_coli-KX42	1	33	0.030303	Uncertain
cl60_618	Escherichia_coli_Shigella	O79	2	2	1.0	Highly confident
cl60_62	Escherichia_coli_Shigella	O18/O18ab/O18ac	29	30	0.966667	Highly confident
cl60_621	Escherichia_coli_Shigella	O79	12	12	1.0	Highly confident
cl60_623	Escherichia_coli_Shigella	O143	10	11	0.909091	Highly confident
cl60_625	Escherichia_coli_Shigella	O115	17	17	1.0	Highly confident
cl60_627	Escherichia_coli_Shigella	O1	2	2	1.0	Highly confident
cl60_632	Escherichia_coli_Shigella	O5	21	23	0.913043	Highly confident
cl60_633	Escherichia_coli_Shigella	O160	39	52	0.75	Confident
cl60_636	Escherichia_coli_Shigella	Escherichia_coli-K96	2	5	0.4	Uncertain
cl60_640	Escherichia_coli_Shigella	O163	23	23	1.0	Highly confident
cl60_642	Escherichia_coli_Shigella	O37	8	9	0.888889	Confident
cl60_643	Escherichia_coli_Shigella	O166	6	6	1.0	Highly confident
cl60_644	Escherichia_coli_Shigella	O147	22	27	0.814815	Confident
cl60_646	Escherichia_coli_Shigella	O41	9	9	1.0	Highly confident
cl60_647	Escherichia_coli_Shigella	O45	5	5	1.0	Highly confident
cl60_650	Escherichia_coli_Shigella	O150	13	13	1.0	Highly confident
cl60_652	Escherichia_coli_Shigella	O147;O21;O24/O56/O157	1;1;1	3;3;3	0.333333;0.333333;0.333333	Uncertain;Uncertain;Uncertain
