cl60_1131	Klebsiella	K128	1	1	1.0	Highly confident
cl60_1137	Klebsiella	K117	16	22	0.727273	Confident
cl60_1140	Klebsiella	O3/O3a;O4	4;5	15;15	0.266667;0.333333	Confident;Confident
cl60_1144	Klebsiella	K128	19	19	1.0	Highly confident
cl60_1149	Klebsiella	K63	95	201	0.472637	Confident
cl60_1151	Klebsiella	K148	1	1	1.0	Highly confident
cl60_1153	Klebsiella	K128	21	24	0.875	Confident
cl60_1154	Klebsiella	K177	1	1	1.0	Highly confident
cl60_1155	Klebsiella	K64	1	1	1.0	Highly confident
cl60_1157	Klebsiella	K17	1	1	1.0	Highly confident
cl60_116	Klebsiella	K64	177	270	0.655556	Confident
cl60_1160	Klebsiella	K2	1	1	1.0	Highly confident
cl60_1162	Klebsiella	K64	1	1	1.0	Highly confident
cl60_1163	Klebsiella	O2afg	1	1	1.0	Highly confident
cl60_1165	Klebsiella	O1;O2afg	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_1166	Klebsiella	O1;O2afg	6;5	20;20	0.3;0.25	Confident;Confident
cl60_1167	Klebsiella	O2ac	1	1	1.0	Highly confident
cl60_117	Klebsiella	K180	20	28	0.714286	Confident
cl60_118	Klebsiella	K184	1	1	1.0	Highly confident
cl60_1187	Klebsiella	K17	1	1	1.0	Highly confident
cl60_120	Klebsiella	K81	49	67	0.731343	Confident
cl60_121	Klebsiella	K127	47	72	0.652778	Confident
cl60_122	Klebsiella	K64	1	1	1.0	Highly confident
cl60_126	Klebsiella	K62	1	1	1.0	Highly confident
cl60_127	Klebsiella	K53	5	5	1.0	Highly confident
cl60_128	Klebsiella	K136	4	4	1.0	Highly confident
cl60_129	Klebsiella	K24	1	1	1.0	Highly confident
cl60_13	Klebsiella	K150	5	9	0.555556	Confident
cl60_131	Klebsiella	K140	10	11	0.909091	Highly confident
cl60_137	Klebsiella	K62	47	53	0.886792	Confident
cl60_141	Klebsiella	K12	37	58	0.637931	Confident
cl60_144	Klebsiella	K180	2	6	0.333333	Uncertain
cl60_145	Klebsiella	K17	20	69	0.289855	Confident
cl60_149	Klebsiella	K17	161	233	0.690987	Confident
cl60_152	Klebsiella	K117	20	32	0.625	Confident
cl60_153	Klebsiella	K157	18	26	0.692308	Confident
cl60_154	Klebsiella	K64	1	1	1.0	Highly confident
cl60_155	Klebsiella	K81	23	33	0.69697	Confident
cl60_156	Klebsiella	K127	2	2	1.0	Highly confident
cl60_160	Klebsiella	K143	5	12	0.416667	Confident
cl60_161	Klebsiella	K64	36	95	0.378947	Confident
cl60_166	Klebsiella	K14	19	31	0.612903	Confident
cl60_169	Klebsiella	K163	6	7	0.857143	Confident
cl60_170	Klebsiella	K30	4	8	0.5	Confident
cl60_171	Klebsiella	K153	18	20	0.9	Confident
cl60_172	Klebsiella	K3	1	2	0.5	Uncertain
